Name,City,Country Code,Days,Start,End
box kitchen san francisco,San Francisco,US,0,1100,1500
box kitchen san francisco,San Francisco,US,0,1630,0100
box kitchen san francisco,San Francisco,US,1,1100,1500
box kitchen san francisco,San Francisco,US,1,1630,0100
box kitchen san francisco,San Francisco,US,2,1100,1500
box kitchen san francisco,San Francisco,US,2,1630,0100
box kitchen san francisco,San Francisco,US,3,1100,1500
box kitchen san francisco,San Francisco,US,3,1630,0100
box kitchen san francisco,San Francisco,US,4,1100,1500
box kitchen san francisco,San Francisco,US,4,1630,0100
box kitchen san francisco,San Francisco,US,5,1630,0100
box kitchen san francisco,San Francisco,US,6,1630,0100
