Name,City,Country Code,Days,Start,End
bricolage brooklyn,Brooklyn,US,0,1100,1500
bricolage brooklyn,Brooklyn,US,0,1700,2200
bricolage brooklyn,Brooklyn,US,1,1100,1500
bricolage brooklyn,Brooklyn,US,1,1700,2200
bricolage brooklyn,Brooklyn,US,2,1100,1500
bricolage brooklyn,Brooklyn,US,2,1700,2200
bricolage brooklyn,Brooklyn,US,3,1100,1500
bricolage brooklyn,Brooklyn,US,3,1700,2200
bricolage brooklyn,Brooklyn,US,4,1100,1500
bricolage brooklyn,Brooklyn,US,4,1700,2300
bricolage brooklyn,Brooklyn,US,5,1100,1500
bricolage brooklyn,Brooklyn,US,5,1700,2300
bricolage brooklyn,Brooklyn,US,6,1100,1500
bricolage brooklyn,Brooklyn,US,6,1700,2200
