Name,City,Country Code,Days,Start,End
brindle room new york,New York,US,0,1130,1545
brindle room new york,New York,US,0,1700,2300
brindle room new york,New York,US,1,1130,1545
brindle room new york,New York,US,1,1700,2300
brindle room new york,New York,US,2,1130,1545
brindle room new york,New York,US,2,1700,2300
brindle room new york,New York,US,3,1130,1545
brindle room new york,New York,US,3,1700,2300
brindle room new york,New York,US,4,1130,1545
brindle room new york,New York,US,4,1700,0000
brindle room new york,New York,US,5,1100,1545
brindle room new york,New York,US,5,1700,0000
brindle room new york,New York,US,6,1100,1545
brindle room new york,New York,US,6,1700,2300
