Name,City,Country Code,Days,Start,End
codys cafe and bar denver,Denver,US,0,1100,1400
codys cafe and bar denver,Denver,US,0,1630,2100
codys cafe and bar denver,Denver,US,1,1100,1400
codys cafe and bar denver,Denver,US,1,1630,2100
codys cafe and bar denver,Denver,US,2,1100,1400
codys cafe and bar denver,Denver,US,2,1630,2100
codys cafe and bar denver,Denver,US,3,1100,1400
codys cafe and bar denver,Denver,US,3,1630,2100
codys cafe and bar denver,Denver,US,4,1100,1400
codys cafe and bar denver,Denver,US,4,1630,2200
codys cafe and bar denver,Denver,US,5,1630,2200
