Name,City,Country Code,Days,Start,End
da ciro brooklyn brooklyn,Brooklyn,US,1,1200,1530
da ciro brooklyn brooklyn,Brooklyn,US,1,1700,2200
da ciro brooklyn brooklyn,Brooklyn,US,2,1200,1530
da ciro brooklyn brooklyn,Brooklyn,US,2,1700,2200
da ciro brooklyn brooklyn,Brooklyn,US,3,1200,1530
da ciro brooklyn brooklyn,Brooklyn,US,3,1700,2200
da ciro brooklyn brooklyn,Brooklyn,US,4,1200,1530
da ciro brooklyn brooklyn,Brooklyn,US,4,1700,2300
da ciro brooklyn brooklyn,Brooklyn,US,5,1200,1530
da ciro brooklyn brooklyn,Brooklyn,US,5,1700,2300
da ciro brooklyn brooklyn,Brooklyn,US,6,1200,1530
da ciro brooklyn brooklyn,Brooklyn,US,6,1700,2200
