Name,City,Country Code,Days,Start,End
da claudio new york,New York,US,0,1130,1500
da claudio new york,New York,US,0,1600,0000
da claudio new york,New York,US,1,1130,1500
da claudio new york,New York,US,1,1600,0000
da claudio new york,New York,US,2,1130,1500
da claudio new york,New York,US,2,1600,0000
da claudio new york,New York,US,3,1130,1500
da claudio new york,New York,US,3,1600,0000
da claudio new york,New York,US,4,1130,1500
da claudio new york,New York,US,4,1600,0000
da claudio new york,New York,US,5,1700,0000
da claudio new york,New York,US,6,1700,0000
