Name,City,Country Code,Days,Start,End
daikaya izakaya washington,Washington,US,0,1130,1400
daikaya izakaya washington,Washington,US,0,1700,2200
daikaya izakaya washington,Washington,US,1,1130,1400
daikaya izakaya washington,Washington,US,1,1700,2230
daikaya izakaya washington,Washington,US,2,1130,1400
daikaya izakaya washington,Washington,US,2,1700,2230
daikaya izakaya washington,Washington,US,3,1130,1400
daikaya izakaya washington,Washington,US,3,1700,2300
daikaya izakaya washington,Washington,US,4,1700,2300
daikaya izakaya washington,Washington,US,5,1700,2300
daikaya izakaya washington,Washington,US,6,1100,1500
daikaya izakaya washington,Washington,US,6,1700,2200
