Name,City,Country Code,Days,Start,End
dan izakaya restaurant san jose,San Jose,US,0,1130,1330
dan izakaya restaurant san jose,San Jose,US,0,1800,2200
dan izakaya restaurant san jose,San Jose,US,1,1130,1330
dan izakaya restaurant san jose,San Jose,US,1,1800,2200
dan izakaya restaurant san jose,San Jose,US,2,1130,1330
dan izakaya restaurant san jose,San Jose,US,2,1800,2200
dan izakaya restaurant san jose,San Jose,US,3,1130,1330
dan izakaya restaurant san jose,San Jose,US,3,1800,2300
dan izakaya restaurant san jose,San Jose,US,4,1130,1330
dan izakaya restaurant san jose,San Jose,US,4,1800,2300
dan izakaya restaurant san jose,San Jose,US,5,1200,1400
dan izakaya restaurant san jose,San Jose,US,5,1800,2300
dan izakaya restaurant san jose,San Jose,US,6,1730,2130
