Name,City,Country Code,Days,Start,End
dresslers charlotte charlotte,Charlotte,US,0,1130,1400
dresslers charlotte charlotte,Charlotte,US,0,1700,2200
dresslers charlotte charlotte,Charlotte,US,1,1130,1400
dresslers charlotte charlotte,Charlotte,US,1,1700,2200
dresslers charlotte charlotte,Charlotte,US,2,1130,1400
dresslers charlotte charlotte,Charlotte,US,2,1700,2200
dresslers charlotte charlotte,Charlotte,US,3,1130,1400
dresslers charlotte charlotte,Charlotte,US,3,1700,2200
dresslers charlotte charlotte,Charlotte,US,4,1130,1400
dresslers charlotte charlotte,Charlotte,US,4,1700,2200
dresslers charlotte charlotte,Charlotte,US,5,1700,2300
dresslers charlotte charlotte,Charlotte,US,6,1700,2100
