Name,City,Country Code,Days,Start,End
el centro boston,Boston,US,0,1100,1500
el centro boston,Boston,US,0,1700,2300
el centro boston,Boston,US,1,1100,1500
el centro boston,Boston,US,1,1700,2300
el centro boston,Boston,US,2,1100,1500
el centro boston,Boston,US,2,1700,2300
el centro boston,Boston,US,3,1100,1500
el centro boston,Boston,US,3,1700,2300
el centro boston,Boston,US,4,1100,1500
el centro boston,Boston,US,4,1700,2300
el centro boston,Boston,US,5,1000,1500
el centro boston,Boston,US,5,1700,2300
el centro boston,Boston,US,6,1000,1500
el centro boston,Boston,US,6,1700,2300
