Name,City,Country Code,Days,Start,End
erawan thai cuisine san jose,San Jose,US,0,1700,2130
erawan thai cuisine san jose,San Jose,US,1,1100,1430
erawan thai cuisine san jose,San Jose,US,1,1700,2130
erawan thai cuisine san jose,San Jose,US,2,1100,1430
erawan thai cuisine san jose,San Jose,US,2,1700,2130
erawan thai cuisine san jose,San Jose,US,3,1100,1430
erawan thai cuisine san jose,San Jose,US,3,1700,2130
erawan thai cuisine san jose,San Jose,US,4,1100,1430
erawan thai cuisine san jose,San Jose,US,4,1700,2200
erawan thai cuisine san jose,San Jose,US,5,1100,1430
erawan thai cuisine san jose,San Jose,US,5,1700,2200
erawan thai cuisine san jose,San Jose,US,6,1100,1430
erawan thai cuisine san jose,San Jose,US,6,1700,2130
