Name,City,Country Code,Days,Start,End
farmhouse kitchen thai cuisine san francisco,San Francisco,US,0,1100,1400
farmhouse kitchen thai cuisine san francisco,San Francisco,US,0,1700,2200
farmhouse kitchen thai cuisine san francisco,San Francisco,US,1,1100,1400
farmhouse kitchen thai cuisine san francisco,San Francisco,US,1,1700,2200
farmhouse kitchen thai cuisine san francisco,San Francisco,US,2,1100,1400
farmhouse kitchen thai cuisine san francisco,San Francisco,US,2,1700,2200
farmhouse kitchen thai cuisine san francisco,San Francisco,US,3,1100,1400
farmhouse kitchen thai cuisine san francisco,San Francisco,US,3,1700,2200
farmhouse kitchen thai cuisine san francisco,San Francisco,US,4,1100,1400
farmhouse kitchen thai cuisine san francisco,San Francisco,US,4,1700,2230
farmhouse kitchen thai cuisine san francisco,San Francisco,US,5,1200,2230
farmhouse kitchen thai cuisine san francisco,San Francisco,US,6,1200,2200
