Name,City,Country Code,Days,Start,End
fiola mare washington,Washington,US,0,1700,2230
fiola mare washington,Washington,US,1,1130,1430
fiola mare washington,Washington,US,1,1700,2230
fiola mare washington,Washington,US,2,1130,1430
fiola mare washington,Washington,US,2,1700,2230
fiola mare washington,Washington,US,3,1130,1430
fiola mare washington,Washington,US,3,1700,2230
fiola mare washington,Washington,US,4,1130,1430
fiola mare washington,Washington,US,4,1700,2300
fiola mare washington,Washington,US,5,1130,1400
fiola mare washington,Washington,US,5,1700,2300
fiola mare washington,Washington,US,6,1130,1400
fiola mare washington,Washington,US,6,1700,2230
