Name,City,Country Code,Days,Start,End
firefly washington,Washington,US,0,0700,1400
firefly washington,Washington,US,0,1730,2200
firefly washington,Washington,US,1,0700,1400
firefly washington,Washington,US,1,1730,2200
firefly washington,Washington,US,2,0700,1400
firefly washington,Washington,US,2,1730,2200
firefly washington,Washington,US,3,0700,1400
firefly washington,Washington,US,3,1730,2200
firefly washington,Washington,US,4,0700,1400
firefly washington,Washington,US,4,1730,2230
firefly washington,Washington,US,5,0900,1400
firefly washington,Washington,US,5,1730,2230
firefly washington,Washington,US,6,0900,1430
firefly washington,Washington,US,6,1730,2200
