Name,City,Country Code,Days,Start,End
fishbones detroit,Detroit,US,0,0630,1030
fishbones detroit,Detroit,US,0,1100,0200
fishbones detroit,Detroit,US,1,0630,1030
fishbones detroit,Detroit,US,1,1100,0200
fishbones detroit,Detroit,US,2,0630,1030
fishbones detroit,Detroit,US,2,1100,0200
fishbones detroit,Detroit,US,3,0630,1030
fishbones detroit,Detroit,US,3,1100,0200
fishbones detroit,Detroit,US,4,0630,1030
fishbones detroit,Detroit,US,4,1100,0200
fishbones detroit,Detroit,US,5,0630,1030
fishbones detroit,Detroit,US,5,1100,0200
fishbones detroit,Detroit,US,6,1830,0200
