Name,City,Country Code,Days,Start,End
floriana washington,Washington,US,0,1700,2230
floriana washington,Washington,US,1,1700,2230
floriana washington,Washington,US,2,1100,1400
floriana washington,Washington,US,2,1700,2230
floriana washington,Washington,US,3,1100,1400
floriana washington,Washington,US,3,1700,2230
floriana washington,Washington,US,4,1100,1400
floriana washington,Washington,US,4,1700,2300
floriana washington,Washington,US,5,1100,1400
floriana washington,Washington,US,5,1700,2300
floriana washington,Washington,US,6,1100,1500
floriana washington,Washington,US,6,1700,2230
