Name,City,Country Code,Days,Start,End
fuji sushi san jose,San Jose,US,0,1130,1430
fuji sushi san jose,San Jose,US,0,1700,2200
fuji sushi san jose,San Jose,US,1,1130,1430
fuji sushi san jose,San Jose,US,1,1700,2200
fuji sushi san jose,San Jose,US,2,1130,1430
fuji sushi san jose,San Jose,US,2,1700,2200
fuji sushi san jose,San Jose,US,3,1130,1430
fuji sushi san jose,San Jose,US,3,1700,2200
fuji sushi san jose,San Jose,US,4,1130,1430
fuji sushi san jose,San Jose,US,4,1700,2200
fuji sushi san jose,San Jose,US,5,1700,2200
fuji sushi san jose,San Jose,US,6,1730,2130
