Name,City,Country Code,Days,Start,End
giada las vegas,Las Vegas,US,0,0800,1400
giada las vegas,Las Vegas,US,0,1700,2300
giada las vegas,Las Vegas,US,1,0800,1400
giada las vegas,Las Vegas,US,1,1700,2300
giada las vegas,Las Vegas,US,2,0800,1400
giada las vegas,Las Vegas,US,2,1700,2300
giada las vegas,Las Vegas,US,3,0800,1400
giada las vegas,Las Vegas,US,3,1700,2300
giada las vegas,Las Vegas,US,4,0800,1400
giada las vegas,Las Vegas,US,4,1700,2300
giada las vegas,Las Vegas,US,5,0800,1400
giada las vegas,Las Vegas,US,5,1700,2300
giada las vegas,Las Vegas,US,6,0800,1400
giada las vegas,Las Vegas,US,6,1700,2300
