Name,City,Country Code,Days,Start,End
golden thai kitchen phoenix,Phoenix,US,0,1100,1500
golden thai kitchen phoenix,Phoenix,US,0,1630,2100
golden thai kitchen phoenix,Phoenix,US,1,1100,1500
golden thai kitchen phoenix,Phoenix,US,1,1630,2100
golden thai kitchen phoenix,Phoenix,US,2,1100,1500
golden thai kitchen phoenix,Phoenix,US,2,1630,2100
golden thai kitchen phoenix,Phoenix,US,3,1100,1500
golden thai kitchen phoenix,Phoenix,US,3,1630,2100
golden thai kitchen phoenix,Phoenix,US,4,1100,1500
golden thai kitchen phoenix,Phoenix,US,4,1630,2100
golden thai kitchen phoenix,Phoenix,US,5,1100,1500
golden thai kitchen phoenix,Phoenix,US,5,1630,2100
