Name,City,Country Code,Days,Start,End
gourmet noodle house san francisco,San Francisco,US,0,1100,1600
gourmet noodle house san francisco,San Francisco,US,0,1730,2130
gourmet noodle house san francisco,San Francisco,US,1,1100,1600
gourmet noodle house san francisco,San Francisco,US,1,1730,2130
gourmet noodle house san francisco,San Francisco,US,2,1100,1600
gourmet noodle house san francisco,San Francisco,US,2,1730,2130
gourmet noodle house san francisco,San Francisco,US,3,1100,1600
gourmet noodle house san francisco,San Francisco,US,3,1730,2130
gourmet noodle house san francisco,San Francisco,US,4,1100,1600
gourmet noodle house san francisco,San Francisco,US,4,1730,2130
gourmet noodle house san francisco,San Francisco,US,5,1100,1600
gourmet noodle house san francisco,San Francisco,US,5,1730,2130
gourmet noodle house san francisco,San Francisco,US,6,1100,1600
gourmet noodle house san francisco,San Francisco,US,6,1730,2130
