Name,City,Country Code,Days,Start,End
great wall chinese restaurant birmingham,Birmingham,US,0,1100,1500
great wall chinese restaurant birmingham,Birmingham,US,0,1630,2130
great wall chinese restaurant birmingham,Birmingham,US,1,1100,1500
great wall chinese restaurant birmingham,Birmingham,US,1,1630,2130
great wall chinese restaurant birmingham,Birmingham,US,2,1100,1500
great wall chinese restaurant birmingham,Birmingham,US,2,1630,2130
great wall chinese restaurant birmingham,Birmingham,US,3,1100,1500
great wall chinese restaurant birmingham,Birmingham,US,3,1630,2130
great wall chinese restaurant birmingham,Birmingham,US,4,1100,1500
great wall chinese restaurant birmingham,Birmingham,US,4,1630,2230
great wall chinese restaurant birmingham,Birmingham,US,5,1100,1500
great wall chinese restaurant birmingham,Birmingham,US,5,1630,2230
great wall chinese restaurant birmingham,Birmingham,US,6,1100,2100
