Name,City,Country Code,Days,Start,End
hai nam restaurant san jose,San Jose,US,0,1000,1500
hai nam restaurant san jose,San Jose,US,0,1700,2000
hai nam restaurant san jose,San Jose,US,1,1000,1500
hai nam restaurant san jose,San Jose,US,1,1700,2000
hai nam restaurant san jose,San Jose,US,2,1000,1500
hai nam restaurant san jose,San Jose,US,2,1700,2000
hai nam restaurant san jose,San Jose,US,3,1000,1400
hai nam restaurant san jose,San Jose,US,3,1700,2000
hai nam restaurant san jose,San Jose,US,4,1000,1500
hai nam restaurant san jose,San Jose,US,4,1700,2000
hai nam restaurant san jose,San Jose,US,5,1000,2100
hai nam restaurant san jose,San Jose,US,6,1000,2000
