Name,City,Country Code,Days,Start,End
hanks oyster bar washington,Washington,US,0,1730,2200
hanks oyster bar washington,Washington,US,1,1730,2200
hanks oyster bar washington,Washington,US,2,1730,2300
hanks oyster bar washington,Washington,US,3,1730,2300
hanks oyster bar washington,Washington,US,4,1130,1500
hanks oyster bar washington,Washington,US,4,1730,2300
hanks oyster bar washington,Washington,US,5,1100,1500
hanks oyster bar washington,Washington,US,5,1730,2300
hanks oyster bar washington,Washington,US,6,1100,1500
hanks oyster bar washington,Washington,US,6,1730,2200
