Name,City,Country Code,Days,Start,End
hukilau san jose,San Jose,US,1,1100,1400
hukilau san jose,San Jose,US,1,1700,2100
hukilau san jose,San Jose,US,2,1100,1400
hukilau san jose,San Jose,US,2,1700,2100
hukilau san jose,San Jose,US,3,1100,1400
hukilau san jose,San Jose,US,3,1700,2100
hukilau san jose,San Jose,US,4,1100,1400
hukilau san jose,San Jose,US,4,1700,2200
hukilau san jose,San Jose,US,5,1100,1430
hukilau san jose,San Jose,US,5,1700,2200
hukilau san jose,San Jose,US,6,1100,1430
hukilau san jose,San Jose,US,6,1700,2100
