Name,City,Country Code,Days,Start,End
hunky dory houston,Houston,US,0,1100,1500
hunky dory houston,Houston,US,0,1700,2200
hunky dory houston,Houston,US,1,1100,1500
hunky dory houston,Houston,US,1,1700,2200
hunky dory houston,Houston,US,2,1100,1500
hunky dory houston,Houston,US,2,1700,2200
hunky dory houston,Houston,US,3,1100,1500
hunky dory houston,Houston,US,3,1700,2200
hunky dory houston,Houston,US,4,1100,1500
hunky dory houston,Houston,US,4,1700,2300
hunky dory houston,Houston,US,5,1000,1500
hunky dory houston,Houston,US,5,1700,2300
hunky dory houston,Houston,US,6,1000,1500
hunky dory houston,Houston,US,6,1700,2100
