Name,City,Country Code,Days,Start,End
ippudo ny new york,New York,US,0,1700,2330
ippudo ny new york,New York,US,1,1100,1530
ippudo ny new york,New York,US,1,1700,2330
ippudo ny new york,New York,US,2,1100,1530
ippudo ny new york,New York,US,2,1700,2330
ippudo ny new york,New York,US,3,1100,1530
ippudo ny new york,New York,US,3,1700,2330
ippudo ny new york,New York,US,4,1100,1530
ippudo ny new york,New York,US,4,1700,0030
ippudo ny new york,New York,US,5,1100,2330
ippudo ny new york,New York,US,6,1100,2230
