Name,City,Country Code,Days,Start,End
izakaya houston,Houston,US,0,1100,1500
izakaya houston,Houston,US,0,1700,2300
izakaya houston,Houston,US,1,1100,1500
izakaya houston,Houston,US,1,1700,2300
izakaya houston,Houston,US,2,1100,1500
izakaya houston,Houston,US,2,1700,2300
izakaya houston,Houston,US,3,1100,1500
izakaya houston,Houston,US,3,1700,0000
izakaya houston,Houston,US,4,1100,1500
izakaya houston,Houston,US,4,1700,0000
izakaya houston,Houston,US,5,1200,0000
izakaya houston,Houston,US,6,1200,2300
