Name,City,Country Code,Days,Start,End
jade dragon charlotte,Charlotte,US,0,1100,1400
jade dragon charlotte,Charlotte,US,0,1630,2100
jade dragon charlotte,Charlotte,US,1,1100,1400
jade dragon charlotte,Charlotte,US,1,1630,2100
jade dragon charlotte,Charlotte,US,2,1100,1400
jade dragon charlotte,Charlotte,US,2,1630,2100
jade dragon charlotte,Charlotte,US,3,1100,1400
jade dragon charlotte,Charlotte,US,3,1630,2100
jade dragon charlotte,Charlotte,US,4,1100,1400
jade dragon charlotte,Charlotte,US,4,1630,2100
jade dragon charlotte,Charlotte,US,5,1130,1400
jade dragon charlotte,Charlotte,US,5,1630,2100
jade dragon charlotte,Charlotte,US,6,1130,1400
jade dragon charlotte,Charlotte,US,6,1630,2100
