Name,City,Country Code,Days,Start,End
jonathans the rub houston,Houston,US,0,1100,1400
jonathans the rub houston,Houston,US,0,1730,2130
jonathans the rub houston,Houston,US,1,1100,1400
jonathans the rub houston,Houston,US,1,1730,2130
jonathans the rub houston,Houston,US,2,1100,1400
jonathans the rub houston,Houston,US,2,1730,2130
jonathans the rub houston,Houston,US,3,1100,1400
jonathans the rub houston,Houston,US,3,1730,2130
jonathans the rub houston,Houston,US,4,1100,1400
jonathans the rub houston,Houston,US,4,1730,2130
jonathans the rub houston,Houston,US,5,1700,2200
