Name,City,Country Code,Days,Start,End
kazoo restaurant san jose,San Jose,US,0,1130,1400
kazoo restaurant san jose,San Jose,US,0,1700,2130
kazoo restaurant san jose,San Jose,US,1,1130,1400
kazoo restaurant san jose,San Jose,US,1,1700,2130
kazoo restaurant san jose,San Jose,US,2,1130,1400
kazoo restaurant san jose,San Jose,US,2,1700,2130
kazoo restaurant san jose,San Jose,US,3,1130,1400
kazoo restaurant san jose,San Jose,US,3,1700,2130
kazoo restaurant san jose,San Jose,US,4,1130,1400
kazoo restaurant san jose,San Jose,US,4,1700,2200
kazoo restaurant san jose,San Jose,US,5,1130,1400
kazoo restaurant san jose,San Jose,US,5,1700,2130
kazoo restaurant san jose,San Jose,US,6,1700,2100
