Name,City,Country Code,Days,Start,End
kokkari estiatorio san francisco,San Francisco,US,0,1130,1430
kokkari estiatorio san francisco,San Francisco,US,0,1730,2200
kokkari estiatorio san francisco,San Francisco,US,1,1130,1430
kokkari estiatorio san francisco,San Francisco,US,1,1730,2200
kokkari estiatorio san francisco,San Francisco,US,2,1130,1430
kokkari estiatorio san francisco,San Francisco,US,2,1730,2200
kokkari estiatorio san francisco,San Francisco,US,3,1130,1430
kokkari estiatorio san francisco,San Francisco,US,3,1730,2200
kokkari estiatorio san francisco,San Francisco,US,4,1130,1430
kokkari estiatorio san francisco,San Francisco,US,4,1730,2300
kokkari estiatorio san francisco,San Francisco,US,5,1700,2300
kokkari estiatorio san francisco,San Francisco,US,6,1700,2200
