Name,City,Country Code,Days,Start,End
kyusu burmese cuisine san jose,San Jose,US,0,1130,1400
kyusu burmese cuisine san jose,San Jose,US,0,1700,2100
kyusu burmese cuisine san jose,San Jose,US,2,1130,1400
kyusu burmese cuisine san jose,San Jose,US,2,1700,2100
kyusu burmese cuisine san jose,San Jose,US,3,1130,1400
kyusu burmese cuisine san jose,San Jose,US,3,1700,2100
kyusu burmese cuisine san jose,San Jose,US,4,1130,1400
kyusu burmese cuisine san jose,San Jose,US,4,1700,2100
kyusu burmese cuisine san jose,San Jose,US,5,1130,1400
kyusu burmese cuisine san jose,San Jose,US,5,1700,2100
kyusu burmese cuisine san jose,San Jose,US,6,1130,1400
kyusu burmese cuisine san jose,San Jose,US,6,1700,2100
