Name,City,Country Code,Days,Start,End
lavash san francisco,San Francisco,US,1,1130,1500
lavash san francisco,San Francisco,US,1,1700,2200
lavash san francisco,San Francisco,US,2,1130,1500
lavash san francisco,San Francisco,US,2,1700,2200
lavash san francisco,San Francisco,US,3,1130,1500
lavash san francisco,San Francisco,US,3,1700,2200
lavash san francisco,San Francisco,US,4,1130,1500
lavash san francisco,San Francisco,US,4,1700,2200
lavash san francisco,San Francisco,US,5,1130,2200
lavash san francisco,San Francisco,US,6,1130,2100
