Name,City,Country Code,Days,Start,End
lime tree southeast asian kitchen san francisco,San Francisco,US,1,1100,1500
lime tree southeast asian kitchen san francisco,San Francisco,US,1,1700,2130
lime tree southeast asian kitchen san francisco,San Francisco,US,2,1100,1500
lime tree southeast asian kitchen san francisco,San Francisco,US,2,1700,2130
lime tree southeast asian kitchen san francisco,San Francisco,US,3,1100,1500
lime tree southeast asian kitchen san francisco,San Francisco,US,3,1700,2130
lime tree southeast asian kitchen san francisco,San Francisco,US,4,1100,1500
lime tree southeast asian kitchen san francisco,San Francisco,US,4,1700,2130
lime tree southeast asian kitchen san francisco,San Francisco,US,5,1200,2130
lime tree southeast asian kitchen san francisco,San Francisco,US,6,1200,2100
