Name,City,Country Code,Days,Start,End
linger denver,Denver,US,0,1600,2300
linger denver,Denver,US,1,1130,1430
linger denver,Denver,US,1,1600,2300
linger denver,Denver,US,2,1130,1430
linger denver,Denver,US,2,1600,2300
linger denver,Denver,US,3,1130,1430
linger denver,Denver,US,3,1600,2300
linger denver,Denver,US,4,1130,1430
linger denver,Denver,US,4,1600,2300
linger denver,Denver,US,5,1000,1430
linger denver,Denver,US,5,1730,2300
linger denver,Denver,US,6,1000,1430
linger denver,Denver,US,6,1730,2200
