Name,City,Country Code,Days,Start,End
little skillet san francisco,San Francisco,US,0,1030,1500
little skillet san francisco,San Francisco,US,0,1600,2200
little skillet san francisco,San Francisco,US,1,1030,1500
little skillet san francisco,San Francisco,US,1,1600,2200
little skillet san francisco,San Francisco,US,2,1030,1500
little skillet san francisco,San Francisco,US,2,1600,2200
little skillet san francisco,San Francisco,US,3,1030,1500
little skillet san francisco,San Francisco,US,3,1600,2200
little skillet san francisco,San Francisco,US,4,1030,1500
little skillet san francisco,San Francisco,US,4,1600,2200
little skillet san francisco,San Francisco,US,5,1030,1500
little skillet san francisco,San Francisco,US,5,1600,2200
little skillet san francisco,San Francisco,US,6,1030,1500
little skillet san francisco,San Francisco,US,6,1600,2130
