Name,City,Country Code,Days,Start,End
locanda verde new york,New York,US,0,0700,1100
locanda verde new york,New York,US,0,1130,1500
locanda verde new york,New York,US,0,1730,2300
locanda verde new york,New York,US,1,0700,1100
locanda verde new york,New York,US,1,1130,1500
locanda verde new york,New York,US,1,1730,2300
locanda verde new york,New York,US,2,0700,1100
locanda verde new york,New York,US,2,1130,1500
locanda verde new york,New York,US,2,1730,2300
locanda verde new york,New York,US,3,0700,1100
locanda verde new york,New York,US,3,1130,1500
locanda verde new york,New York,US,3,1730,2300
locanda verde new york,New York,US,4,0700,1100
locanda verde new york,New York,US,4,1130,1500
locanda verde new york,New York,US,4,1730,2300
locanda verde new york,New York,US,5,0800,1500
locanda verde new york,New York,US,5,1730,2300
locanda verde new york,New York,US,6,0800,1500
locanda verde new york,New York,US,6,1730,2300
