Name,City,Country Code,Days,Start,End
m m  mediterranean new york,New York,US,0,1130,1530
m m  mediterranean new york,New York,US,0,1700,2300
m m  mediterranean new york,New York,US,1,1130,1530
m m  mediterranean new york,New York,US,1,1700,2300
m m  mediterranean new york,New York,US,2,1130,1530
m m  mediterranean new york,New York,US,2,1700,2300
m m  mediterranean new york,New York,US,3,1130,1530
m m  mediterranean new york,New York,US,3,1700,2300
m m  mediterranean new york,New York,US,4,1130,1530
m m  mediterranean new york,New York,US,4,1700,2300
m m  mediterranean new york,New York,US,5,1000,1530
m m  mediterranean new york,New York,US,5,1700,2300
m m  mediterranean new york,New York,US,6,1000,1530
m m  mediterranean new york,New York,US,6,1700,2300
