Name,City,Country Code,Days,Start,End
malabar charlotte,Charlotte,US,0,1130,1500
malabar charlotte,Charlotte,US,0,1700,2200
malabar charlotte,Charlotte,US,1,1130,1500
malabar charlotte,Charlotte,US,1,1700,2200
malabar charlotte,Charlotte,US,2,1130,1500
malabar charlotte,Charlotte,US,2,1700,2200
malabar charlotte,Charlotte,US,3,1130,1500
malabar charlotte,Charlotte,US,3,1700,2200
malabar charlotte,Charlotte,US,4,1130,1500
malabar charlotte,Charlotte,US,4,1700,2300
malabar charlotte,Charlotte,US,5,1700,2300
