Name,City,Country Code,Days,Start,End
marigold maison paradise valley phoenix,Phoenix,US,0,1130,1430
marigold maison paradise valley phoenix,Phoenix,US,0,1700,2100
marigold maison paradise valley phoenix,Phoenix,US,1,1130,1430
marigold maison paradise valley phoenix,Phoenix,US,1,1700,2100
marigold maison paradise valley phoenix,Phoenix,US,2,1130,1430
marigold maison paradise valley phoenix,Phoenix,US,2,1700,2100
marigold maison paradise valley phoenix,Phoenix,US,3,1130,1430
marigold maison paradise valley phoenix,Phoenix,US,3,1700,2100
marigold maison paradise valley phoenix,Phoenix,US,4,1130,1430
marigold maison paradise valley phoenix,Phoenix,US,4,1700,2200
marigold maison paradise valley phoenix,Phoenix,US,5,1130,1430
marigold maison paradise valley phoenix,Phoenix,US,5,1700,2200
marigold maison paradise valley phoenix,Phoenix,US,6,1130,1430
marigold maison paradise valley phoenix,Phoenix,US,6,1700,2100
