Name,City,Country Code,Days,Start,End
marios restaurant boston,Boston,US,0,1130,1400
marios restaurant boston,Boston,US,0,1700,2100
marios restaurant boston,Boston,US,1,1130,1400
marios restaurant boston,Boston,US,1,1700,2100
marios restaurant boston,Boston,US,2,1130,1400
marios restaurant boston,Boston,US,2,1700,2100
marios restaurant boston,Boston,US,3,1130,1400
marios restaurant boston,Boston,US,3,1700,2100
marios restaurant boston,Boston,US,4,1130,1400
marios restaurant boston,Boston,US,4,1700,2200
marios restaurant boston,Boston,US,5,1700,2200
