Name,City,Country Code,Days,Start,End
masseria dei vini new york,New York,US,0,1200,1500
masseria dei vini new york,New York,US,0,1700,2300
masseria dei vini new york,New York,US,1,1200,1500
masseria dei vini new york,New York,US,1,1700,0000
masseria dei vini new york,New York,US,2,1200,1500
masseria dei vini new york,New York,US,2,1700,0000
masseria dei vini new york,New York,US,3,1200,1500
masseria dei vini new york,New York,US,3,1700,0000
masseria dei vini new york,New York,US,4,1200,1500
masseria dei vini new york,New York,US,4,1700,0000
masseria dei vini new york,New York,US,5,1200,1500
masseria dei vini new york,New York,US,5,1700,0000
masseria dei vini new york,New York,US,6,1200,1500
masseria dei vini new york,New York,US,6,1700,2230
