Name,City,Country Code,Days,Start,End
may flower restaurant san jose,San Jose,US,1,1130,1500
may flower restaurant san jose,San Jose,US,1,1700,2100
may flower restaurant san jose,San Jose,US,2,1130,1500
may flower restaurant san jose,San Jose,US,2,1700,2100
may flower restaurant san jose,San Jose,US,3,1130,1500
may flower restaurant san jose,San Jose,US,3,1700,2100
may flower restaurant san jose,San Jose,US,4,1130,1500
may flower restaurant san jose,San Jose,US,4,1700,2130
may flower restaurant san jose,San Jose,US,5,1130,1500
may flower restaurant san jose,San Jose,US,5,1700,2130
may flower restaurant san jose,San Jose,US,6,1130,1500
may flower restaurant san jose,San Jose,US,6,1700,2100
