Name,City,Country Code,Days,Start,End
mesa grill las vegas,Las Vegas,US,0,1100,1430
mesa grill las vegas,Las Vegas,US,0,1700,2300
mesa grill las vegas,Las Vegas,US,1,1100,1430
mesa grill las vegas,Las Vegas,US,1,1700,2300
mesa grill las vegas,Las Vegas,US,2,1100,1430
mesa grill las vegas,Las Vegas,US,2,1700,2300
mesa grill las vegas,Las Vegas,US,3,1100,1430
mesa grill las vegas,Las Vegas,US,3,1700,2300
mesa grill las vegas,Las Vegas,US,4,1100,1430
mesa grill las vegas,Las Vegas,US,4,1700,2300
mesa grill las vegas,Las Vegas,US,5,1030,1500
mesa grill las vegas,Las Vegas,US,5,1700,2300
mesa grill las vegas,Las Vegas,US,6,1030,1500
mesa grill las vegas,Las Vegas,US,6,1700,2300
