Name,City,Country Code,Days,Start,End
mezcaleria oaxaca seattle,Seattle,US,0,1700,2300
mezcaleria oaxaca seattle,Seattle,US,1,1700,2300
mezcaleria oaxaca seattle,Seattle,US,2,1200,1500
mezcaleria oaxaca seattle,Seattle,US,2,1700,2300
mezcaleria oaxaca seattle,Seattle,US,3,1200,1500
mezcaleria oaxaca seattle,Seattle,US,3,1700,2300
mezcaleria oaxaca seattle,Seattle,US,4,1200,1500
mezcaleria oaxaca seattle,Seattle,US,4,1700,0000
mezcaleria oaxaca seattle,Seattle,US,5,1200,1500
mezcaleria oaxaca seattle,Seattle,US,5,1700,0000
