Name,City,Country Code,Days,Start,End
minas korean bbq san jose,San Jose,US,0,1100,1500
minas korean bbq san jose,San Jose,US,0,1700,2100
minas korean bbq san jose,San Jose,US,1,1100,1500
minas korean bbq san jose,San Jose,US,1,1700,2100
minas korean bbq san jose,San Jose,US,2,1100,1500
minas korean bbq san jose,San Jose,US,2,1700,2100
minas korean bbq san jose,San Jose,US,3,1100,1500
minas korean bbq san jose,San Jose,US,3,1700,2100
minas korean bbq san jose,San Jose,US,4,1100,1500
minas korean bbq san jose,San Jose,US,4,1700,2100
minas korean bbq san jose,San Jose,US,5,1130,2100
