Name,City,Country Code,Days,Start,End
minato japanese restaurant san jose,San Jose,US,1,1130,1330
minato japanese restaurant san jose,San Jose,US,1,1700,2030
minato japanese restaurant san jose,San Jose,US,2,1130,1330
minato japanese restaurant san jose,San Jose,US,2,1700,2030
minato japanese restaurant san jose,San Jose,US,3,1130,1330
minato japanese restaurant san jose,San Jose,US,3,1700,2030
minato japanese restaurant san jose,San Jose,US,4,1130,1330
minato japanese restaurant san jose,San Jose,US,4,1700,2100
minato japanese restaurant san jose,San Jose,US,5,1130,1330
minato japanese restaurant san jose,San Jose,US,5,1700,2100
