Name,City,Country Code,Days,Start,End
montmartre washington,Washington,US,1,1130,1430
montmartre washington,Washington,US,1,1730,2200
montmartre washington,Washington,US,2,1130,1430
montmartre washington,Washington,US,2,1730,2200
montmartre washington,Washington,US,3,1130,1430
montmartre washington,Washington,US,3,1730,2200
montmartre washington,Washington,US,4,1130,1430
montmartre washington,Washington,US,4,1730,2230
montmartre washington,Washington,US,5,1030,1500
montmartre washington,Washington,US,5,1730,2230
montmartre washington,Washington,US,6,1030,1500
montmartre washington,Washington,US,6,1730,2100
