Name,City,Country Code,Days,Start,End
naan and curry san jose,San Jose,US,0,1100,1500
naan and curry san jose,San Jose,US,0,1630,2130
naan and curry san jose,San Jose,US,1,1100,1500
naan and curry san jose,San Jose,US,1,1630,2130
naan and curry san jose,San Jose,US,2,1100,1500
naan and curry san jose,San Jose,US,2,1630,2130
naan and curry san jose,San Jose,US,3,1100,1500
naan and curry san jose,San Jose,US,3,1630,2130
naan and curry san jose,San Jose,US,4,1100,1500
naan and curry san jose,San Jose,US,4,1630,2130
naan and curry san jose,San Jose,US,5,1100,2130
naan and curry san jose,San Jose,US,6,1100,2130
