Name,City,Country Code,Days,Start,End
nazca mochica washington,Washington,US,0,1100,1400
nazca mochica washington,Washington,US,0,1700,2300
nazca mochica washington,Washington,US,1,1100,1400
nazca mochica washington,Washington,US,1,1700,2300
nazca mochica washington,Washington,US,2,1100,1400
nazca mochica washington,Washington,US,2,1700,2300
nazca mochica washington,Washington,US,3,1100,1400
nazca mochica washington,Washington,US,3,1700,2300
nazca mochica washington,Washington,US,4,1100,1400
nazca mochica washington,Washington,US,4,1700,2300
nazca mochica washington,Washington,US,5,1700,2300
nazca mochica washington,Washington,US,6,1100,1430
nazca mochica washington,Washington,US,6,1700,2300
