Name,City,Country Code,Days,Start,End
nemea greek taverna san jose,San Jose,US,0,1130,1430
nemea greek taverna san jose,San Jose,US,0,1730,2200
nemea greek taverna san jose,San Jose,US,1,1130,1430
nemea greek taverna san jose,San Jose,US,1,1730,2200
nemea greek taverna san jose,San Jose,US,2,1130,1430
nemea greek taverna san jose,San Jose,US,2,1730,2200
nemea greek taverna san jose,San Jose,US,3,1130,1430
nemea greek taverna san jose,San Jose,US,3,1730,2200
nemea greek taverna san jose,San Jose,US,4,1130,1430
nemea greek taverna san jose,San Jose,US,4,1730,2300
nemea greek taverna san jose,San Jose,US,5,1700,2300
nemea greek taverna san jose,San Jose,US,6,1700,2100
