Name,City,Country Code,Days,Start,End
nook kitchen phoenix,Phoenix,US,0,1100,1400
nook kitchen phoenix,Phoenix,US,0,1700,2200
nook kitchen phoenix,Phoenix,US,1,1100,1400
nook kitchen phoenix,Phoenix,US,1,1700,2200
nook kitchen phoenix,Phoenix,US,2,1100,1400
nook kitchen phoenix,Phoenix,US,2,1700,2200
nook kitchen phoenix,Phoenix,US,3,1100,1400
nook kitchen phoenix,Phoenix,US,3,1700,2200
nook kitchen phoenix,Phoenix,US,4,1100,1400
nook kitchen phoenix,Phoenix,US,4,1600,2300
nook kitchen phoenix,Phoenix,US,5,1600,2300
nook kitchen phoenix,Phoenix,US,6,1600,2200
