Name,City,Country Code,Days,Start,End
nuna ramen seattle,Seattle,US,0,1100,1500
nuna ramen seattle,Seattle,US,0,1700,2100
nuna ramen seattle,Seattle,US,1,1100,1500
nuna ramen seattle,Seattle,US,1,1700,2100
nuna ramen seattle,Seattle,US,2,1100,1500
nuna ramen seattle,Seattle,US,2,1700,2100
nuna ramen seattle,Seattle,US,3,1100,1500
nuna ramen seattle,Seattle,US,3,1700,2100
nuna ramen seattle,Seattle,US,4,1100,1500
nuna ramen seattle,Seattle,US,4,1700,2200
nuna ramen seattle,Seattle,US,5,1100,2200
nuna ramen seattle,Seattle,US,6,1200,2100
