Name,City,Country Code,Days,Start,End
perla cafe new york,New York,US,0,1130,1500
perla cafe new york,New York,US,0,1700,2200
perla cafe new york,New York,US,1,1130,1500
perla cafe new york,New York,US,1,1700,2300
perla cafe new york,New York,US,2,1130,1500
perla cafe new york,New York,US,2,1700,2300
perla cafe new york,New York,US,3,1130,1500
perla cafe new york,New York,US,3,1700,0000
perla cafe new york,New York,US,4,1130,1500
perla cafe new york,New York,US,4,1700,0000
perla cafe new york,New York,US,5,1030,1600
perla cafe new york,New York,US,5,1800,0000
perla cafe new york,New York,US,6,1030,1600
perla cafe new york,New York,US,6,1800,2200
