Name,City,Country Code,Days,Start,End
persuasian restaurant charlotte,Charlotte,US,1,1100,1400
persuasian restaurant charlotte,Charlotte,US,1,1630,2130
persuasian restaurant charlotte,Charlotte,US,2,1100,1400
persuasian restaurant charlotte,Charlotte,US,2,1630,2130
persuasian restaurant charlotte,Charlotte,US,3,1100,1400
persuasian restaurant charlotte,Charlotte,US,3,1630,2130
persuasian restaurant charlotte,Charlotte,US,4,1100,1400
persuasian restaurant charlotte,Charlotte,US,4,1630,2200
persuasian restaurant charlotte,Charlotte,US,5,1630,2200
persuasian restaurant charlotte,Charlotte,US,6,1630,2130
