Name,City,Country Code,Days,Start,End
ramen halu san jose,San Jose,US,0,1130,1400
ramen halu san jose,San Jose,US,0,1730,2100
ramen halu san jose,San Jose,US,1,1130,1400
ramen halu san jose,San Jose,US,1,1730,2100
ramen halu san jose,San Jose,US,2,1130,1400
ramen halu san jose,San Jose,US,2,1730,2100
ramen halu san jose,San Jose,US,3,1130,1400
ramen halu san jose,San Jose,US,3,1730,2100
ramen halu san jose,San Jose,US,4,1130,1400
ramen halu san jose,San Jose,US,4,1730,2130
ramen halu san jose,San Jose,US,5,1130,1430
ramen halu san jose,San Jose,US,5,1730,2130
ramen halu san jose,San Jose,US,6,1130,1430
ramen halu san jose,San Jose,US,6,1730,2100
