Name,City,Country Code,Days,Start,End
ramen kobo las vegas,Las Vegas,US,0,1130,1430
ramen kobo las vegas,Las Vegas,US,0,1700,2300
ramen kobo las vegas,Las Vegas,US,1,1130,1430
ramen kobo las vegas,Las Vegas,US,1,1700,2300
ramen kobo las vegas,Las Vegas,US,2,1130,1430
ramen kobo las vegas,Las Vegas,US,2,1700,2300
ramen kobo las vegas,Las Vegas,US,3,1130,1430
ramen kobo las vegas,Las Vegas,US,3,1700,2300
ramen kobo las vegas,Las Vegas,US,4,1130,1430
ramen kobo las vegas,Las Vegas,US,4,1700,2300
ramen kobo las vegas,Las Vegas,US,5,1130,2300
ramen kobo las vegas,Las Vegas,US,6,1130,2300
