Name,City,Country Code,Days,Start,End
revel seattle,Seattle,US,0,1100,1400
revel seattle,Seattle,US,0,1700,2200
revel seattle,Seattle,US,1,1100,1400
revel seattle,Seattle,US,1,1700,2200
revel seattle,Seattle,US,2,1100,1400
revel seattle,Seattle,US,2,1700,2200
revel seattle,Seattle,US,3,1100,1400
revel seattle,Seattle,US,3,1700,2200
revel seattle,Seattle,US,4,1100,1400
revel seattle,Seattle,US,4,1700,2300
revel seattle,Seattle,US,5,1000,1400
revel seattle,Seattle,US,5,1700,2300
revel seattle,Seattle,US,6,1000,1400
revel seattle,Seattle,US,6,1700,2200
