Name,City,Country Code,Days,Start,End
rivas italian restaurant houston,Houston,US,0,1100,1400
rivas italian restaurant houston,Houston,US,0,1700,2200
rivas italian restaurant houston,Houston,US,1,1100,1400
rivas italian restaurant houston,Houston,US,1,1700,2200
rivas italian restaurant houston,Houston,US,2,1100,1400
rivas italian restaurant houston,Houston,US,2,1700,2200
rivas italian restaurant houston,Houston,US,3,1100,1400
rivas italian restaurant houston,Houston,US,3,1700,2200
rivas italian restaurant houston,Houston,US,4,1100,1400
rivas italian restaurant houston,Houston,US,4,1700,2200
rivas italian restaurant houston,Houston,US,5,1700,2200
rivas italian restaurant houston,Houston,US,6,1100,1400
rivas italian restaurant houston,Houston,US,6,1800,2100
