Name,City,Country Code,Days,Start,End
sa by thai san jose,San Jose,US,0,1100,1500
sa by thai san jose,San Jose,US,0,1700,2300
sa by thai san jose,San Jose,US,1,1100,1500
sa by thai san jose,San Jose,US,1,1700,2300
sa by thai san jose,San Jose,US,2,1100,1500
sa by thai san jose,San Jose,US,2,1700,2300
sa by thai san jose,San Jose,US,3,1100,1500
sa by thai san jose,San Jose,US,3,1700,2300
sa by thai san jose,San Jose,US,4,1100,1500
sa by thai san jose,San Jose,US,4,1700,2300
sa by thai san jose,San Jose,US,5,1200,1600
sa by thai san jose,San Jose,US,5,1700,2300
sa by thai san jose,San Jose,US,6,1200,1600
sa by thai san jose,San Jose,US,6,1700,2300
