Name,City,Country Code,Days,Start,End
saino indian nepali kitchen las vegas,Las Vegas,US,0,1100,1500
saino indian nepali kitchen las vegas,Las Vegas,US,0,1700,2230
saino indian nepali kitchen las vegas,Las Vegas,US,1,1100,1500
saino indian nepali kitchen las vegas,Las Vegas,US,1,1700,2230
saino indian nepali kitchen las vegas,Las Vegas,US,2,1100,1500
saino indian nepali kitchen las vegas,Las Vegas,US,2,1700,2230
saino indian nepali kitchen las vegas,Las Vegas,US,3,1100,1500
saino indian nepali kitchen las vegas,Las Vegas,US,3,1700,2230
saino indian nepali kitchen las vegas,Las Vegas,US,4,1100,1500
saino indian nepali kitchen las vegas,Las Vegas,US,4,1700,2230
saino indian nepali kitchen las vegas,Las Vegas,US,5,1100,1630
saino indian nepali kitchen las vegas,Las Vegas,US,5,1700,2230
saino indian nepali kitchen las vegas,Las Vegas,US,6,1100,1630
saino indian nepali kitchen las vegas,Las Vegas,US,6,1700,2230
