Name,City,Country Code,Days,Start,End
schilling new york,New York,US,0,1200,1500
schilling new york,New York,US,0,1600,2200
schilling new york,New York,US,1,1200,1500
schilling new york,New York,US,1,1600,2200
schilling new york,New York,US,2,1200,1500
schilling new york,New York,US,2,1600,2200
schilling new york,New York,US,3,1200,1500
schilling new york,New York,US,3,1600,2200
schilling new york,New York,US,4,1200,1500
schilling new york,New York,US,4,1600,2200
schilling new york,New York,US,5,1200,1500
schilling new york,New York,US,5,1600,2200
schilling new york,New York,US,6,1200,1500
schilling new york,New York,US,6,1600,2200
