Name,City,Country Code,Days,Start,End
siam house thai restaurant washington,Washington,US,0,1100,2200
siam house thai restaurant washington,Washington,US,1,1100,1500
siam house thai restaurant washington,Washington,US,1,1630,2200
siam house thai restaurant washington,Washington,US,2,1100,1500
siam house thai restaurant washington,Washington,US,2,1630,2200
siam house thai restaurant washington,Washington,US,3,1100,1500
siam house thai restaurant washington,Washington,US,3,1630,2200
siam house thai restaurant washington,Washington,US,4,1100,2300
siam house thai restaurant washington,Washington,US,5,1200,2300
siam house thai restaurant washington,Washington,US,6,1200,2200
