Name,City,Country Code,Days,Start,End
sitka and spruce seattle,Seattle,US,0,1130,1400
sitka and spruce seattle,Seattle,US,0,1700,2100
sitka and spruce seattle,Seattle,US,1,1130,1400
sitka and spruce seattle,Seattle,US,1,1700,2200
sitka and spruce seattle,Seattle,US,2,1130,1400
sitka and spruce seattle,Seattle,US,2,1700,2200
sitka and spruce seattle,Seattle,US,3,1130,1400
sitka and spruce seattle,Seattle,US,3,1700,2200
sitka and spruce seattle,Seattle,US,4,1130,1400
sitka and spruce seattle,Seattle,US,4,1700,2300
sitka and spruce seattle,Seattle,US,5,1000,1400
sitka and spruce seattle,Seattle,US,5,1700,2300
sitka and spruce seattle,Seattle,US,6,1000,1400
sitka and spruce seattle,Seattle,US,6,1700,2100
